"","n","Scenario","d","tau","Simulations","QS","ATF1","ATF2"
"1",500,2,10,0.2,10,"3.86305","NA","NA"
"2",1000,2,10,0.2,10,"2.77341","NA","NA"
"3",2500,2,10,0.2,10,"1.51494","NA","NA"
