"","n","Scenario","d","tau","Simulations","Method","QATF1","QATF0","QS","ATF1","ATF0"
"1",500,0,10,0.5,10,"min_lambda","1.6479","1.65491","1.61903","1.87722","1.65106"
"2",1000,0,10,0.5,10,"min_lambda","1.09245","0.861157","1.10243","1.26318","0.955105"
"3",2500,0,10,0.5,10,"min_lambda","0.638182","0.346576","0.696294","0.775491","0.462389"
