"","n","Scenario","d","tau","Simulations","Method","QATF1","QATF0","QS","ATF1","ATF0"
"1",500,2,10,0.5,10,"min_lambda","2.03407","2.35067","2.2444","165.28","2794.18"
"2",1000,2,10,0.5,10,"min_lambda","1.31323","1.58886","1.52231","1412.65","78147.2"
"3",2500,2,10,0.5,10,"min_lambda","0.624255","0.787721","0.807849","33.5683","2623.1"
