"","n","Scenario","d","tau","Simulations","Method","QATF1","QATF0","QS","ATF1","ATF0"
"1",500,9,10,0.5,2,"min_lambda","0.833328","0.342508","0.912445","25.1836","18.8996"
"2",1000,9,10,0.5,2,"min_lambda","0.522413","0.182088","0.611001","34.2244","63.7546"
"3",2500,9,10,0.5,2,"min_lambda","0.305485","0.0827699","0.366102","42.7913","1646.83"
