"","n","Scenario","d","tau","Simulations","Method","QATF1","QATF0","QS","ATF1","ATF0"
"1",500,3,10,0.5,10,"min_lambda","1.19263","1.50982","1.3299","NA","NA"
"2",1000,3,10,0.5,10,"min_lambda","0.73593","0.984676","0.890127","NA","NA"
"3",2500,3,10,0.5,10,"min_lambda","0.346788","0.496284","0.496527","NA","NA"
