"","n","Scenario","d","tau","Simulations","Method","QATF1","QATF0","QS","ATF1","ATF0"
"1",500,16,10,0.5,2,"min_lambda","128.283","26.7581","166.625","997.954","1058.82"
"2",1000,16,10,0.5,2,"min_lambda","54.1403","1.49782","73.8316","259.522","105.99"
"3",2500,16,10,0.5,2,"min_lambda","21.0245","0.484616","48.1539","155759","7679612"
