"","n","Scenario","d","tau","Simulations","QATF1","QATF2"
"1",500,3,10,0.2,10,"1.79131","2.05713"
"2",1000,3,10,0.2,10,"0.994797","2.37725"
"3",2500,3,10,0.2,10,"0.535818","2.23702"
