"","n","Scenario","tau","Simulations","QATF1","QATF2","QS","ATF1","ATF2"
"1",500,2,0.5,1,"0.412791","0.470141","0.55251","31.4672","27.0743"
"2",1000,2,0.5,1,"0.348192","0.343387","0.407735","22.3287","21.0699"
"3",2500,2,0.5,1,"0.119478","0.100133","0.158714","1.32031","1.37787"
