"","n","Scenario","d","tau","Simulations","Method","QATF1","QATF0","QS","ATF1","ATF0"
"1",500,4,10,0.5,10,"min_lambda","0.975077","1.19813","1.09766","3.5949","5.45043"
"2",1000,4,10,0.5,10,"min_lambda","0.560091","0.754417","0.670754","1.01052","1.18896"
"3",2500,4,10,0.5,10,"min_lambda","0.239137","0.36477","0.360464","0.662974","0.907344"
