"","n","Scenario","tau","Simulations","QATF1","QATF2","QS","ATF1","ATF2"
"1",500,6,0.9,10,"0.0975385","0.15542","0.0914624","NA","NA"
"2",1000,6,0.9,10,"0.0495671","0.0716921","0.0446336","NA","NA"
"3",2500,6,0.9,10,"0.0147251","0.0143926","0.0136961","NA","NA"
"4",500,6,0.1,10,"0.119191","0.162228","0.0989325","NA","NA"
"5",1000,6,0.1,10,"0.031472","0.0398943","0.0302704","NA","NA"
"6",2500,6,0.1,10,"0.0196603","0.0247346","0.019243","NA","NA"
