"","n","Scenario","tau","Simulations","QATF1","QATF2","QS","ATF1","ATF2"
"1",500,1,0.5,10,"0.212593","0.221543","0.296376","0.13845","0.142382"
"2",1000,1,0.5,10,"0.112299","0.117404","0.15265","0.0747216","0.080335"
"3",2500,1,0.5,10,"0.0549143","0.0617851","0.0830224","0.0373083","0.0396072"
