"","n","Scenario","d","tau","Simulations","Method","QATF1","QATF0","QS","ATF1","ATF0"
"1",500,10,10,0.5,2,"min_lambda","1.26187","0.912987","1.24725","81.5563","24.5496"
"2",1000,10,10,0.5,2,"min_lambda","0.935921","0.490231","0.983003","132.688","612.364"
"3",2500,10,10,0.5,2,"min_lambda","0.471547","0.181512","0.559457","65.7004","7449.15"
