"","n","Scenario","tau","Simulations","QATF1","QATF2","ATF1","ATF2"
"1",500,6,0.9,1,"0.134887","0.0488399","NA","NA"
"2",1000,6,0.9,1,"0.0850645","0.0587216","NA","NA"
"3",2500,6,0.9,1,"0.0269227","0.0171073","NA","NA"
"4",500,6,0.1,1,"0.218609","0.0928671","NA","NA"
"5",1000,6,0.1,1,"0.0908509","0.0233166","NA","NA"
"6",2500,6,0.1,1,"0.0338915","0.0127144","NA","NA"
