"","n","Scenario","tau","Simulations","QATF1","QATF2","QS","ATF1","ATF2"
"1",500,1,0.5,1,"0.242596","0.214023","0.308786","0.173975","0.174177"
"2",1000,1,0.5,1,"0.103854","0.124121","0.188329","0.0837551","0.0858065"
"3",2500,1,0.5,1,"0.0494879","0.0526948","0.110085","0.0353962","0.0341145"
