"","n","Scenario","d","tau","Simulations","Method","QATF1","QATF0","QS","ATF1","ATF0"
"1",500,1,10,0.5,10,"min_lambda","0.983119","1.01363","1.07377","0.579998","0.619406"
"2",1000,1,10,0.5,10,"min_lambda","0.613215","0.742622","0.730398","0.401095","0.458306"
"3",2500,1,10,0.5,10,"min_lambda","0.311106","0.409586","0.432487","0.205508","0.275052"
