"","n","Scenario","d","tau","Simulations","Method","QATF1","QATF0","QS","ATF1","ATF0"
"1",500,8,10,0.5,2,"min_lambda","0.995349","0.499214","0.992545","16.127","10.0614"
"2",1000,8,10,0.5,2,"min_lambda","0.592495","0.229439","0.651456","6.8983","6.98392"
"3",2500,8,10,0.5,2,"min_lambda","0.292184","0.0650834","0.369068","31.651","549.119"
