"","n","Scenario","tau","Simulations","QATF1","QATF2","QS","ATF1","ATF2"
"1",500,3,0.5,10,"0.189584","0.205861","0.242131","0.46672","0.447501"
"2",1000,3,0.5,10,"0.104187","0.112001","0.149516","0.384783","0.363532"
"3",2500,3,0.5,10,"0.0406352","0.0466495","0.0644148","0.224064","0.218555"
