"","n","Scenario","d","tau","Simulations","Method","QATF1","QATF0","QS","ATF1","ATF0"
"1",500,11,10,0.5,2,"min_lambda","0.72427","0.565356","0.749569","45.6107","41.4638"
"2",1000,11,10,0.5,2,"min_lambda","0.441297","0.253163","0.469896","4381.14","260487"
"3",2500,11,10,0.5,2,"min_lambda","0.281057","0.108421","0.33288","209.337","26276.9"
