"","n","Scenario","tau","Simulations","QATF1","QATF2","QS","ATF1","ATF2"
"1",500,4,0.5,1,"0.00979719","0.0419821","0.057595","0.0168517","0.0796268"
"2",1000,4,0.5,1,"0.0130657","0.0284094","0.0339702","0.0538174","0.123148"
"3",2500,4,0.5,1,"0.0018329","0.0141275","0.0204032","0.00249651","0.0143506"
