"","n","Scenario","tau","Simulations","QATF1","QATF2","QS","ATF1","ATF2"
"1",500,4,0.5,10,"0.0104353","0.0467861","0.0552601","0.0223391","0.0657132"
"2",1000,4,0.5,10,"0.0107314","0.0320426","0.0414101","0.013609","0.042896"
"3",2500,4,0.5,10,"0.00232831","0.0133851","0.017795","0.00436401","0.026037"
