"","n","Scenario","d","tau","Simulations","Method","QATF1","QATF0","QS","ATF1","ATF0"
"1",500,14,10,0.5,2,"min_lambda","0.545653","0.50416","0.551493","88.9116","50.1027"
"2",1000,14,10,0.5,2,"min_lambda","0.516015","0.501496","0.516027","76.8222","9214.39"
"3",2500,14,10,0.5,2,"min_lambda","0.489931","0.482664","0.490573","2011.17","320833"
