"","n","Scenario","tau","Simulations","QATF1","QATF2","QS","ATF1","ATF2"
"1",500,3,0.5,1,"0.206864","0.220357","0.258113","0.444878","0.419569"
"2",1000,3,0.5,1,"0.128381","0.167552","0.19414","0.206357","0.228852"
"3",2500,3,0.5,1,"0.0424024","0.0540957","0.0697992","0.153834","0.160656"
