"","n","Scenario","d","tau","Simulations","QATF1","QATF2"
"1",500,2,10,0.8,10,"3.295","5.40295"
"2",1000,2,10,0.8,10,"2.56019","11.5209"
"3",2500,2,10,0.8,10,"1.49361","20.1169"
