"","n","Scenario","d","tau","Simulations","Method","QATF1","QATF0","QS","ATF1","ATF0"
"1",500,12,10,0.5,2,"min_lambda","31.1423","30.8746","30.8857","82.158","48.4148"
"2",1000,12,10,0.5,2,"min_lambda","15.0217","15.5134","15.4112","126.885","4866.04"
"3",2500,12,10,0.5,2,"min_lambda","25.8926","25.712","26.2689","106.868","13229.3"
