"","n","Scenario","d","tau","Simulations","QS","ATF1","ATF2"
"1",500,3,10,0.8,10,"1.69158","NA","NA"
"2",1000,3,10,0.8,10,"1.22083","NA","NA"
"3",2500,3,10,0.8,10,"0.689365","NA","NA"
