"","n","Scenario","d","tau","Simulations","QS","ATF1","ATF2"
"1",500,2,10,0.5,10,"1.97168","25551.6","8656.97"
"2",1000,2,10,0.5,10,"1.36732","7955.09","898.044"
"3",2500,2,10,0.5,10,"0.755861","65.8734","25.0358"
