"","n","Scenario","d","tau","Simulations","Method","QATF1","QATF0","QS","ATF1","ATF0"
"1",500,4,10,0.8,10,"min_lambda","1.79772","2.47196","1.93041","NA","NA"
"2",1000,4,10,0.8,10,"min_lambda","1.05831","1.4232","1.24079","NA","NA"
"3",2500,4,10,0.8,10,"min_lambda","0.540525","0.711638","0.691687","NA","NA"
