"","n","Scenario","d","tau","Simulations","Method","QATF1","QATF0","QS","ATF1","ATF0"
"1",500,13,10,0.5,2,"min_lambda","0.311447","1.11914","0.266213","174.844","1281.14"
"2",1000,13,10,0.5,2,"min_lambda","0.29335","0.759814","0.286755","6145.79","373293"
"3",2500,13,10,0.5,2,"min_lambda","0.261503","0.495208","0.255923","12.0206","23.598"
