"","n","Scenario","tau","Simulations","QATF1","QATF2","QS","ATF1","ATF2"
"1",500,2,0.5,10,"0.492243","0.523879","0.573844","19.0585","20.7248"
"2",1000,2,0.5,10,"0.235636","0.269154","0.315747","8.85316","8.83661"
"3",2500,2,0.5,10,"0.0995911","0.111106","0.139917","38.6305","35.5102"
