"","n","Scenario","d","tau","Simulations","QATF1","QATF2","QS","ATF1","ATF2"
"1",500,3,10,0.5,10,"0.99314","1.14215","1.02662","1.65798","1.68338"
"2",1000,3,10,0.5,10,"0.58002","1.20445","0.707467","0.829818","0.8713"
"3",2500,3,10,0.5,10,"0.23954","1.14719","0.357079","0.649566","0.674174"
