"","n","Scenario","d","tau","Simulations","QATF1","QATF2"
"1",500,3,10,0.5,10,"0.977079","1.17878"
"2",1000,3,10,0.5,10,"0.57519","1.01545"
"3",2500,3,10,0.5,10,"0.239461","1.08676"
