"","n","Scenario","tau","Simulations","QATF1","QATF2","QS","ATF1","ATF2"
"1",500,5,0.5,1,"0.270782","0.0970642","0.100654","9.78933","8.54457"
"2",1000,5,0.5,1,"0.118573","0.0534122","0.0599252","53.7755","49.6519"
"3",2500,5,0.5,1,"0.0491918","0.0258533","0.0313479","0.936564","0.626418"
