"","n","Scenario","d","tau","Simulations","QATF1","QATF2","QS","ATF1","ATF2"
"1",500,1,10,0.5,10,"0.939327","0.987085","0.984103","0.593627","0.643151"
"2",1000,1,10,0.5,10,"0.585145","0.9442","0.688393","0.400704","0.429534"
"3",2500,1,10,0.5,10,"0.308071","0.895966","0.428619","0.211723","0.234686"
