"","n","Scenario","d","tau","Simulations","QATF1","QATF2","QS","ATF1","ATF2"
"1",500,3,10,0.8,10,"1.73845","2.19174","1.81931","NA","NA"
"2",1000,3,10,0.8,10,"1.1136","2.3238","1.23365","NA","NA"
"3",2500,3,10,0.8,10,"0.533745","2.13608","0.682741","NA","NA"
