"","n","Scenario","d","tau","Simulations","QATF1","QATF2"
"1",500,2,10,0.5,10,"2.09052","2.48678"
"2",1000,2,10,0.5,10,"1.25543","3.73142"
"3",2500,2,10,0.5,10,"0.610329","3.5351"
