"","n","Scenario","tau","Simulations","QATF1","QATF2","QS","ATF1","ATF2"
"1",500,5,0.5,10,"0.177847","0.100681","0.103705","26490.8","44323.6"
"2",1000,5,0.5,10,"0.105252","0.0596641","0.0570152","32.3733","32.0882"
"3",2500,5,0.5,10,"0.0511029","0.0273899","0.0273531","58.537","59.5741"
