Country.Name,"Compulsory education, duration (years)","Educational attainment, at least completed lower secondary, population 25+, female (%) (cumulative)",Individuals using the Internet (% of population),Rural population (% of total population),"Life expectancy at birth, total (years)",Scientific and technical journal articles
Haiti,6,NA,35.93779781,42.056,63.80675,37.055
Honduras,12,33.939998626709,43.653805743333336,41.0234,71.2985,89.35
"Hong Kong SAR, China",9,77.48367309570315,93.2143162025,0,84.96146341463415,NA
Hungary,13,97.79015159606935,86.0611303375,27.7506,75.5170731707317,7303.99
Iceland,10,99.72954750061035,99.57490421333333,6.0538,82.89085365853657,673.685
India,8,39.06031545003253,39.74631818333334,64.5946,69.011,139381.27
Indonesia,9,52.17515563964842,57.501558665,42.7156,68.7865,31499.97
"Iran, Islamic Rep.",9,57.87517261505125,75.53883591333333,23.665200000000002,74.8415,55320.185
Iraq,6,24.514705657959,54.436378669999996,28.8714,70.60325,8295.395
Ireland,10,89.49702835083008,91.38983762666666,36.0762,82.66707317073173,8154.925
Isle of Man,NA,NA,NA,46.9076,80.65299999999999,NA
Israel,15,90.40414237976073,89.07070537,7.324199999999996,82.66341463414635,13523.09
Italy,12,79.27594184875484,74.564302645,28.6498,82.80975609756098,80860.6
Jamaica,6,NA,77.54472428666666,43.3332,71.19125,177.88
Japan,9,98.2129135131836,88.62131173666667,8.131,84.3395731707317,101027.05
Jordan,10,52.5645701090495,77.17745529333332,8.381199999999998,74.92475,3253.8
Kazakhstan,9,NA,87.7602557025,42.1598,72.305,2687.6949999999997
Kenya,12,59.459130287170396,25.653080446666667,71.4966,62.275,1590.32
Kiribati,9,84.5457801818848,47.25558036333334,43.6832,67.3735,3.41
"Korea, Dem. People's Rep.",12,83.40324211120605,NA,37.3448,73.3335,161.365
"Korea, Rep.",9,83.40324211120605,96.8506301125,18.5718,83.21524390243906,70712.4
Kosovo,NA,NA,NA,NA,77.97975,266.85
Kuwait,9,NA,99.44951554000001,0,78.88550000000001,1136.9850000000001
Kyrgyz Republic,10,NA,71.34011977,62.829,71.83719512195123,179.82999999999998
Lao PDR,9,33.6456108093262,54.34408602,63.0574,68.42375,89.33
Latvia,11,97.58140182495114,89.3107894225,31.5662,74.53353658536585,1497.55
Lebanon,10,64.0798721313477,83.15057682,10.906,76.62575,2148.015
Lesotho,7,42.8141632080078,44.38029952666667,70.5098,53.741,35.325
Liberia,6,NA,28.356276703333336,47.4182,60.97475,16.939999999999998
Libya,9,NA,NA,19.0028,72.24924999999999,210.74
Liechtenstein,9,NA,94.35513843666666,85.5174,83.63536585365856,30.915
Lithuania,11,96.23126220703122,84.823040515,31.738200000000003,75.27256097560978,2591.41
Luxembourg,12,89.8556423187256,98.12079136,8.3386,82.60670731707317,927.7750000000001
"Macao SAR, China",10,NA,87.75621697333334,0,85.2345,NA
Madagascar,5,15.9009799957275,15.09276923,60.792,65.19475,138.895
Malawi,8,12.7135801315308,18.923856813333334,82.2888,63.4095,269.245
Malaysia,6,81.45561981201172,91.9730562825,22.3214,75.7105,21582.614999999998
Maldives,7,56.3557319641113,80.27215724666667,58.8968,80.187,16.57
Mali,9,7.852450132369995,28.21920945,55.3304,59.16375,94.545
Malta,11,82.93119049072266,87.91197331250001,5.1904,82.60365853658537,471.635
Marshall Islands,13,81.46334838867185,NA,21.8478,65.03450000000001,2.3
Mauritania,9,8.5777416229248,51.53195694666667,43.8822,64.8185,20.725
Mauritius,11,61.96542263031007,64.73161957666667,59.2044,73.9019512195122,212.12
Mexico,14,64.51000022888185,72.24959634,18.9854,72.345,19285.035000000003
"Micronesia, Fed. Sts.",8,NA,40.13011450333333,76.9182,70.84649999999999,4.945
Moldova,11.2,97.05837821960449,59.40039883,56.9762,69.642,261.735
Monaco,11,NA,84.71387966,0,NA,47.25
Mongolia,12,88.99859619140622,66.10579905,31.1992,71.90125,198.16000000000003
Montenegro,9,93.6124318440755,80.3817691475,32.174,75.65670731707317,294.02
Morocco,9,NA,85.45701515666666,35.9384,74.30125,5990.42
Mozambique,NA,17.8663997650146,16.107885353333334,62.366,60.322,160.63
Myanmar,5,57.2982635498047,38.87044303333333,68.5352,66.58375,350.015
Namibia,7,NA,48.85483262666667,47.0156,60.808,174.78500000000003
Nauru,14,72.4770660400391,78.45192869333333,0,63.638,0.615
Nepal,9,25.65074443817135,44.094344889999995,78.9818,69.4345,1233.96
Netherlands,13,89.92586708068848,92.29864727500001,7.4502,81.62378048780491,32417.589999999997
New Caledonia,0,NA,NA,28.0818,80.34101829268292,NA
New Zealand,10,81.79690933227539,92.87966550666667,13.2056,82.3201219512195,8718.994999999999
Nicaragua,7,NA,51.82261935333333,40.7092,73.57525,36.075
Niger,NA,4.99849414825439,20.15394542,83.2316,62.001,63.405
Nigeria,9,47.32789103190103,50.617820353333336,47.267,53.0265,7188.34
North Macedonia,13,62.245272636413574,81.94554371333334,41.1854,74.66719512195122,425.105
Northern Mariana Islands,NA,NA,NA,8.109000000000002,NA,NA
Norway,10,95.03281974792478,97.651885525,16.6856,82.97317073170733,12834.779999999999
Oman,10,70.8303591410319,93.95726959,13.0174,74.80875,1016.16
