Country.Name,Log.GDP.per.capita,Social.support,Healthy.life.expectancy.at.birth,Freedom.to.make.life.choices,Perceptions.of.corruption,Compulsory.education..duration..years.,Individuals.using.the.Internet....of.population.,Rural.population....of.total.population.,Log.Scientific.and.technical.journal.articles,Ladder.score
Togo,7.68225,0.567,57.325,0.64925,0.72525,10,28.262405153333333,56.6366,4.462107803146254,4.214
Tunisia,9.265600000000001,0.6994,67,0.5748,0.8978,9,72.83237896,30.1064,8.536635950045886,4.422
Uganda,7.7284,0.8012,59.15,0.734,0.8573999999999999,7,7.486745177333333,74.4404,6.763226493240312,4.372
Ukraine,9.4114,0.8698,64.55,0.774,0.9054,11,74.79368231666666,30.2296,9.421795883495202,4.873
United Kingdom,10.725,0.895,70.3,0.857,0.4678,11,94.67168881333333,15.8506,11.546889598020988,6.749
United States,11.055,0.907,65.85,0.7918,0.699,12,90.60132112000001,17.1244,13.010177421333498,6.725
Uruguay,10.0696,0.9162,67.5,0.8984,0.5978,14,87.4021522075,4.399400000000002,6.858486250175334,6.611
Uzbekistan,8.9608,0.8898,65.3,0.9422,0.6162,12,72.69680901,49.5452,6.97415144862182,6.195
Zambia,8.0974,0.681,55.25,0.8274,0.7992,7,18.694481973333332,54.8022,5.462135451777431,3.502
Zimbabwe,7.66,0.7042,54.05,0.666,0.7774,7,30.23360336,67.6666,6.12444266170244,3.341
