Country.Name,Log.GDP.per.capita,Social.support,Healthy.life.expectancy.at.birth,Freedom.to.make.life.choices,Generosity,Perceptions.of.corruption
United Arab Emirates,11.1814,0.8178,66.3,0.9244,0.128,NA
United Kingdom,10.725,0.895,70.3,0.857,0.258,0.4678
United States,11.055,0.907,65.85,0.7918,0.1456,0.699
Uruguay,10.0696,0.9162,67.5,0.8984,-0.072,0.5978
Uzbekistan,8.9608,0.8898,65.3,0.9422,0.2442,0.6162
Venezuela,5.527,0.8578,64.05,0.6722,0.124,0.8194
Vietnam,9.2986,0.8272,65.5,0.945,-0.0644,0.747
Yemen,7.448,0.8556666666666667,56.975,0.6136666666666667,-0.106,0.7856666666666667
Zambia,8.0974,0.681,55.25,0.8274,0.0698,0.7992
Zimbabwe,7.66,0.7042,54.05,0.666,-0.0538,0.7774
