"Lambda5","Lambda1","Lambda9"
100,719.685673001152,719.685673001152
5179.47467923121,138.949549437314,5179.47467923121
372.759372031494,138.949549437314,3727.59372031494
517.947467923121,5179.47467923121,517.947467923121
1389.49549437314,5179.47467923121,2682.69579527973
1389.49549437314,10000,10000
517.947467923121,5179.47467923121,268.269579527973
268.269579527973,1000,5179.47467923121
268.269579527973,5.17947467923121,3727.59372031494
193.069772888325,138.949549437314,26.8269579527973
