"Log.GDP.per.capita","Social.support","Healthy.life.expectancy.at.birth","Freedom.to.make.life.choices","Perceptions.of.corruption","Compulsory.education..duration..years.","Individuals.using.the.Internet....of.population.","Rural.population....of.total.population.","Log.Scientific.and.technical.journal.articles","Ladder.score"
0.0447915075607148,0,0.324121679520137,0,0.875911661066951,0.363636363636364,0.114165110180525,0.895278579831034,0.289351751954228,-3.85609734513274
0.527279670077898,0.545498941885072,0.821765209940018,0.755993431855501,0.931410308940424,0.363636363636364,0.740536279925059,0.450335890181896,0.319412197067529,-0.273097345132743
0.465957690545288,0.74271528569103,0.732647814910026,0.235221674876847,0.705973940834221,0.454545454545455,0.619831173810516,0.312987915730938,0.622843196049384,-0.213097345132743
0.616083702459142,0.853817353084812,0.754927163667524,0.783579638752052,0.861591411947882,0.818181818181818,0.844409381121062,0.0944454166302098,0.66337892384393,0.610902654867257
0.538128150297846,0.693472244831515,0.772707797772065,0.765188834154351,0.670941571744653,0.636363636363636,0.721061478382273,0.444106609891018,0.424754162439942,-0.122097345132743
0.809546357110127,0.911769493732704,0.886889460154242,0.898193760262726,0.439727935753503,0.545454545454545,0.954824714633431,0.165679898114932,0.823807676419605,1.47990265486726
0.830349778524515,0.867491453687123,0.89031705227078,0.857142857142857,0.457674342374826,0.727272727272727,0.899892825827591,0.498138264259535,0.694845812737785,1.32790265486726
0.532533985031312,0.630799283737587,0.641530991145387,0.790914066776136,0.578546259116611,0.454545454545455,0.829783697374829,0.525099405994497,0.462161847932524,-0.684097345132743
0.321261646555674,0.297411688100277,0.664095972579263,0.8623973727422,0.713840858805212,0,0.279034097814408,0.741991619758704,0.608290487208974,-1.69109734513274
0.817611119596762,0.874002930164415,0.881748071979435,0.786863711001642,0.545931328361878,0.636363636363636,0.919367305269611,0.0228974052361926,0.71337572486439,1.31690265486726
0.188468000610967,0.101416246133811,0.374464438731791,0.672249589490969,0.586249282963206,0.0909090909090909,0.224966266378517,0.620055220151467,0.357372972629876,-1.20009734513274
0.393752863907133,0.70307667263552,0.631533847472151,0.849589490968801,0.895025813324592,0.818181818181818,0.54633178035769,0.358768143416844,0.292414281848005,0.206902654867257
0.545975255842371,0.823538987465408,0.758354755784062,0.683415435139573,1,0.363636363636364,0.726838447915986,0.614467582465658,0.454623803558911,0.299902654867257
0.530166488468001,0.790656031255087,0.705227077977721,0.780952380952381,0.760059001884782,0.818181818181818,0.777857326637009,0.154195953762845,0.835202003060821,0.694902654867257
0.651229570795785,0.911118346084975,0.730934018851757,0.7376026272578,0.986232893550766,0.545454545454545,0.712797377152539,0.291359212918404,0.591218244936486,-0.114097345132743
0.0878073926989462,0.455396386130555,0.355826906598115,0.575944170771757,0.747766942555109,0.454545454545455,0.0808260613588434,0.835535334091638,0.347710510874531,-1.02909734513274
0.214541011150145,0.531824841282761,0.365895458440446,0.586535303776683,0.8834712775547,0.0909090909090909,0.380831964316824,0.5086378705243,0.471052739863119,-0.703097345132743
0.801160837024592,0.90363014813609,0.898886032562126,0.870935960591133,0.38121773334426,0.454545454545455,0.921532440446458,0.222846851576399,0.831163297911247,1.32290265486726
0,0.470182863964404,0.263924592973436,0.418171866447729,0.82930426944194,0.454545454545455,0.0558631608904491,0.925985067226646,0.103558833103421,-1.10609734513274
0.649992362914312,0.837213088067719,0.861182519280206,0.696551724137931,0.872654265344587,0.636363636363636,0.865553598461811,0.147988547651685,0.65427117217789,0.782902654867257
0.530303956010386,0.760377665635683,0.828620394173093,0.764860426929392,0.888142260099975,0.636363636363636,0.68054353812923,0.221967023458843,0.658627802696206,0.117902654867257
0.184664731938292,0.262900862770633,0.484433019137389,0.237000547345375,0.749815619110055,0.0909090909090909,0.153561813274369,0.855151612370092,0,-2.01109734513274
0.613151061554911,0.832003906885886,0.850899742930591,0.924794745484401,0.809964762763255,0.727272727272727,0.806653190272021,0.226188740144467,0.427173529595348,1.37790265486726
0.701909271422026,0.898095393130392,0.814910025706941,0.608866995073892,0.958452839465705,0.272727272727273,0.789404468268804,0.511692964291617,0.603385978536729,0.364902654867257
0.767240720940889,0.723587823538988,0.946872322193659,0.630213464696223,0.902401048922396,0.454545454545455,0.888493885687094,0.402533516104257,0.49823497062817,0.490902654867257
0.762085688101421,0.942129252808074,0.820479862896315,0.914203612479475,0.897115463410637,0.454545454545455,0.812996974680521,0.313226101243426,0.707633950092949,1.24490265486726
0.84304261493814,0.943675728471431,0.893744644387318,0.971100164203612,0.0822748504466115,0.454545454545455,0.981056012720904,0.142882141919678,0.704028826630712,2.00590265486726
0.582037574461586,0.777958652124369,0.658954584404456,0.841050903119869,0.680652298615095,0.909090909090909,0.813338410208126,0.204462818755408,0.24720596450658,0.245902654867257
0.459416526653429,0.705681263226437,0.81662382176521,0.735632183908046,0.875604359583709,0.909090909090909,0.667496323752512,0.432926473590574,0.551167145327483,0.147902654867257
0.418680311593096,0.629822562265994,0.700085689802913,0.933333333333333,0.597803818733098,0.909090909090909,0.526714896505188,0.314822916362859,0.134090410465501,0.891902654867257
0.740995875973729,0.941396711704379,0.838903170522708,0.937931034482758,0.375071703679423,0.363636363636364,0.899521798158479,0.371583982267332,0.514165116515447,0.870902654867257
0.411600733160226,0.599055835910793,0.209940017137961,0.364532019704434,0.769892649348521,0.181818181818182,0.531765740445049,0.918990190645629,0.176707437746384,-2.07509734513274
